Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
15 3 -5.6954927 0.0 -17.7072 9.81364 -20.5058 159.059 -1144.85 160.448 -1152.83 0.0 160.448 -1152.83 52.5014 -17.7072 -957.58777 15.6863 15.6863
15 4 -5.6949735 0.0 -17.7224 9.81413 -20.5048 159.059 -1144.85 160.444 -1152.79 0.0 160.444 -1152.79 52.4869 -17.7224 -957.58154 15.6873 15.6873
15 5 -5.6949735 0.0 -17.7224 9.81413 -20.5048 159.059 -1144.85 160.444 -1152.79 0.0 160.444 -1152.79 52.4869 -17.7224 -957.58154 15.6873 15.6873
15 6 -5.6949735 0.0 -17.7224 9.81413 -20.5048 159.059 -1144.85 160.444 -1152.79 0.0 160.444 -1152.79 52.4869 -17.7224 -957.58154 15.6873 15.6873
15 7 -5.695328 0.0 -17.7472 9.81359 -20.5042 159.059 -1144.85 160.439 -1152.75 0.0 160.439 -1152.75 52.5012 -17.7472 -957.557 15.6891 15.6891
16 0 -5.8996577 0.0 -24.9944 9.68767 -20.0362 159.059 -1144.85 160.34 -1144.46 0.0 160.34 -1144.46 51.5595 -24.9944 -957.55493 13.0479 13.0479
16 1 -5.8996577 0.0 -24.9944 9.68767 -20.0362 159.059 -1144.85 160.34 -1144.46 0.0 160.34 -1144.46 51.5595 -24.9944 -957.55493 13.0479 13.0479
16 2 -5.8996577 0.0 -24.9944 9.68767 -20.0362 159.059 -1144.85 160.34 -1144.46 0.0 160.34 -1144.46 51.5595 -24.9944 -957.55493 13.0479 13.0479
16 3 -5.8996577 0.0 -24.9944 9.68767 -20.0362 159.059 -1144.85 160.34 -1144.46 0.0 160.34 -1144.46 51.5595 -24.9944 -957.55493 13.0479 13.0479
16 4 -5.8838763 0.0 -24.7846 9.68634 -20.0151 159.059 -1144.85 160.29 -1144.43 0.0 160.29 -1144.43 51.4876 -24.7846 -957.4371 12.8564 12.8564
16 5 -5.8838763 0.0 -24.7846 9.68634 -20.0151 159.059 -1144.85 160.29 -1144.43 0.0 160.29 -1144.43 51.4876 -24.7846 -957.4371 12.8564 12.8564
16 6 -5.8838763 0.0 -24.7846 9.68634 -20.0151 159.059 -1144.85 160.29 -1144.43 0.0 160.29 -1144.43 51.4876 -24.7846 -957.4371 12.8564 12.8564
16 7 -6.0435925 0.0 -27.5023 9.66257 -20.048 159.059 -1144.85 160.705 -1143.55 0.0 160.705 -1143.55 54.2 -27.5023 -956.1473 16.0308 16.0308
17 0 -5.3656263 0.0 -14.7647 9.69247 -20.1013 159.059 -1144.85 161.036 -1152.68 0.0 161.036 -1152.68 48.8844 -14.7647 -957.5243 16.3417 16.3417
17 1 -5.3656263 0.0 -14.7647 9.69247 -20.1013 159.059 -1144.85 161.036 -1152.68 0.0 161.036 -1152.68 48.8844 -14.7647 -957.5243 16.3417 16.3417
17 2 -5.3859673 0.0 -15.3359 9.69262 -20.113 159.059 -1144.85 161.003 -1152.09 0.0 161.003 -1152.09 48.9441 -15.3359 -957.4788 16.2952 16.2952
17 3 -5.3859673 0.0 -15.3359 9.69262 -20.113 159.059 -1144.85 161.003 -1152.09 0.0 161.003 -1152.09 48.9441 -15.3359 -957.4788 16.2952 16.2952
17 4 -5.3926315 0.0 -15.7218 9.69453 -20.0817 159.059 -1144.85 160.946 -1151.48 0.0 160.946 -1151.48 48.9796 -15.7218 -957.2762 15.994 15.994
17 5 -5.3926315 0.0 -15.7218 9.69453 -20.0817 159.059 -1144.85 160.946 -1151.48 0.0 160.946 -1151.48 48.9796 -15.7218 -957.2762 15.994 15.994
17 6 -5.3926315 0.0 -15.7218 9.69453 -20.0817 159.059 -1144.85 160.946 -1151.48 0.0 160.946 -1151.48 48.9796 -15.7218 -957.2762 15.994 15.994
17 7 -5.3926315 0.0 -15.7218 9.69453 -20.0817 159.059 -1144.85 160.946 -1151.48 0.0 160.946 -1151.48 48.9796 -15.7218 -957.2762 15.994 15.994
18 0 -5.573272 0.0 -15.81 9.70801 -20.7663 159.059 -1144.85 160.856 -1154.82 0.0 160.856 -1154.82 52.3256 -15.81 -957.4483 17.1435 17.1435
18 1 -5.573272 0.0 -15.81 9.70801 -20.7663 159.059 -1144.85 160.856 -1154.82 0.0 160.856 -1154.82 52.3256 -15.81 -957.4483 17.1435 17.1435
18 2 -5.573272 0.0 -15.81 9.70801 -20.7663 159.059 -1144.85 160.856 -1154.82 0.0 160.856 -1154.82 52.3256 -15.81 -957.4483 17.1435 17.1435
18 3 -5.573619 0.0 -15.8292 9.70823 -20.7654 159.059 -1144.85 160.853 -1154.79 0.0 160.853 -1154.79 52.3283 -15.8292 -957.43787 17.1428 17.1428
18 4 -5.573619 0.0 -15.8292 9.70823 -20.7654 159.059 -1144.85 160.853 -1154.79 0.0 160.853 -1154.79 52.3283 -15.8292 -957.43787 17.1428 17.1428
18 5 -5.573669 0.0 -15.8359 9.70828 -20.765 159.059 -1144.85 160.853 -1154.78 0.0 160.853 -1154.78 52.3273 -15.8359 -957.43555 17.1429 17.1429
18 6 -5.573669 0.0 -15.8359 9.70828 -20.765 159.059 -1144.85 160.853 -1154.78 0.0 160.853 -1154.78 52.3273 -15.8359 -957.43555 17.1429 17.1429
18 7 -5.573669 0.0 -15.8359 9.70828 -20.765 159.059 -1144.85 160.853 -1154.78 0.0 160.853 -1154.78 52.3273 -15.8359 -957.43555 17.1429 17.1429
19 0 -5.5984383 0.0 -18.9663 9.62847 -20.2094 159.059 -1144.85 159.602 -1147.98 0.0 159.602 -1147.98 50.3312 -18.9663 -957.0131 13.5226 13.5226
19 1 -5.5984383 0.0 -18.9663 9.62847 -20.2094 159.059 -1144.85 159.602 -1147.98 0.0 159.602 -1147.98 50.3312 -18.9663 -957.0131 13.5226 13.5226
19 2 -5.6332645 0.0 -19.9339 9.6309 -20.2296 159.059 -1144.85 159.738 -1147.28 0.0 159.738 -1147.28 50.7528 -19.9339 -956.72314 13.1034 13.1034
19 3 -5.6332645 0.0 -19.9339 9.6309 -20.2296 159.059 -1144.85 159.738 -1147.28 0.0 159.738 -1147.28 50.7528 -19.9339 -956.72314 13.1034 13.1034
19 4 -5.6332645 0.0 -19.9339 9.6309 -20.2296 159.059 -1144.85 159.738 -1147.28 0.0 159.738 -1147.28 50.7528 -19.9339 -956.72314 13.1034 13.1034
19 5 -5.6332645 0.0 -19.9339 9.6309 -20.2296 159.059 -1144.85 159.738 -1147.28 0.0 159.738 -1147.28 50.7528 -19.9339 -956.72314 13.1034 13.1034
19 6 -5.613985 0.0 -19.837 9.63246 -20.2451 159.059 -1144.85 159.707 -1147.08 0.0 159.707 -1147.08 50.7992 -19.837 -956.41077 13.3229 13.3229
19 7 -5.613985 0.0 -19.837 9.63246 -20.2451 159.059 -1144.85 159.707 -1147.08 0.0 159.707 -1147.08 50.7992 -19.837 -956.41077 13.3229 13.3229
20 0 -6.031371 0.0 -27.0957 9.69586 -19.6961 159.059 -1144.85 160.695 -1143.56 0.0 160.695 -1143.56 53.164 -27.0957 -956.7967 16.7768 16.7768
21 0 -5.7563157 0.0 -22.0472 9.75505 -20.5058 159.059 -1144.85 160.703 -1147.6 0.0 160.703 -1147.6 52.2449 -22.0472 -956.6992 13.1074 13.1074
21 1 -5.7563157 0.0 -22.0472 9.75505 -20.5058 159.059 -1144.85 160.703 -1147.6 0.0 160.703 -1147.6 52.2449 -22.0472 -956.6992 13.1074 13.1074
21 2 -5.755708 0.0 -22.312 9.75499 -20.501 159.059 -1144.85 160.712 -1147.19 0.0 160.712 -1147.19 52.2289 -22.312 -956.56104 13.021 13.021
21 3 -5.755708 0.0 -22.312 9.75499 -20.501 159.059 -1144.85 160.712 -1147.19 0.0 160.712 -1147.19 52.2289 -22.312 -956.56104 13.021 13.021
21 4 -5.7548094 0.0 -22.4027 9.75498 -20.4967 159.059 -1144.85 160.718 -1147.04 0.0 160.718 -1147.04 52.2105 -22.4027 -956.5143 13.0096 13.0096
